birth_rate,co2_ppm,death_rate,food_kcal_per_capita,food_per_capita_index,food_production_index,gdp_per_capita,life_expectancy,mean_years_schooling,plastic_production,pollution_composite,population,year
27.7821057757357,338.76,10.3749140250602,2456.6252,18.051194113771754,21.7639161079791,5980.2496636777,62.1515000723228,5.310849,70000000.0,1.520081061164333,4437473406.0,1980
28.2485692012689,340.12,10.2220052297345,2465.9656,19.471673464434097,23.8962054060644,5986.16541634047,62.516815469465,,72000000.0,1.5507404288170683,4516792587.0,1981
28.4684444973869,341.48,10.140368026198,2493.4866,17.51108466813599,21.883160575338,5902.83631107186,62.8744224934289,,73000000.0,1.5671140821840897,4599385851.0,1982
27.8910021630478,343.15,10.1856056955701,2535.4656,17.66326487894136,22.4735050493695,5947.17196185161,63.1315027470635,,80000000.0,1.6696779485559883,4682734714.0,1983
27.6430630414806,344.87,10.0620538788985,2544.1062,16.20800271021207,20.9879432761774,6119.78747000196,63.4358699774594,,86000000.0,1.7580328631083975,4765813206.0,1984
27.6367912462,346.35,9.94586773412986,2547.0808,18.19007272666124,23.9731539253935,6233.01620995706,63.7253727049054,5.7433367,90000000.0,1.8174478892515002,4850494238.0,1985
27.7174572618118,347.61,9.76399796933442,2549.1733,17.65982562029976,23.691622205613,6325.60696795708,64.1164876670747,,96000000.0,1.9050965891146436,4937459951.0,1986
27.6106134888578,349.31,9.5701372786006,2566.8206,16.400773311399377,22.4005405143021,6446.30334343936,64.4576806100147,,104000000.0,2.0219922272519915,5026770385.0,1987
27.1502497969658,351.69,9.5101632612686,2583.6492,18.106347063928137,25.1734710563749,6619.58069394832,64.6663839423644,,110000000.0,2.111360406358564,5116898810.0,1988
26.6685440700776,353.2,9.32956180526877,2594.0737,16.11789799792375,22.8051675730017,6741.21559672441,64.9575716318237,,114000000.0,2.1708214899814013,5207378374.0,1989
26.257972001557,354.45,9.30360763774567,2579.3457,15.71046333128699,22.6196461602765,6804.1256624154,65.1085564186251,6.174556,120000000.0,2.2584548373513,5298962018.0,1990
25.6371685712368,355.7,9.269381150261,2557.8862,17.685042536031272,25.8914493984506,6773.41556784101,65.3038759534727,,124000000.0,2.31751675614977,5388203305.0,1991
24.9555977893854,356.54,9.17137131326227,2565.3564,19.309604052305986,28.734828538527,6801.30548790075,65.5476873001237,,132000000.0,2.4330920798680564,5476822930.0,1992
24.5636099110326,357.21,9.15559784842428,2566.9763,26.061690768910353,39.4033503455003,6818.5696934514,65.742736646679,,137000000.0,2.505549268344036,5564459142.0,1993
24.189376308348,358.96,9.1948255798405,2588.2222,28.860401162108182,44.309725326929,6944.09107891381,65.9586214931772,,151000000.0,2.708235954661894,5650534421.0,1994
23.7861293039246,360.97,8.99425886094727,2610.1233,28.990651042486498,45.1843516386507,7057.77278518959,66.2008974348323,6.7308083,156000000.0,2.7827503772326914,5736205135.0,1995
23.4723691933467,362.74,8.89072234091914,2617.7515,30.665521744276777,48.5122118415729,7202.73987066597,66.5154326237584,,168000000.0,2.9568963399656103,5822327903.0,1996
23.133464827822,363.88,8.77085870899186,2628.8784,30.818473182546,49.4730370441813,7381.77119872805,66.8309307807022,,180000000.0,3.130075095624101,5908180322.0,1997
22.7077414285028,366.84,8.71200326501635,2639.7783,32.032276904098225,52.1663105434545,7478.78410824619,67.0666353847454,,188000000.0,3.248905147910306,5993730786.0,1998
22.2990605362588,368.54,8.62944990013822,2650.6294,32.18969364558646,53.160505307659,7638.92854068848,67.3121942863677,,202000000.0,3.45151507176194,6078069822.0,1999
22.0781645859669,369.71,8.51155625493986,2659.2173,49.7150178218588,83.2307572102514,7879.61788990331,67.6504778738489,7.2817993,213000000.0,3.6104541706144504,6161528496.0,2000
21.7494520252499,371.32,8.42822044229306,2653.9727,52.98674251708661,89.9063126838048,7932.44247045676,67.9451852910729,,218000000.0,3.6843544934554515,6244739668.0,2001
21.4172549178767,373.45,8.36112377457594,2653.9026,53.32806848015866,91.6800028909521,8010.64724039979,68.2313680755001,,231000000.0,3.873338860230901,6327171255.0,2002
